,index,Mouse,Sex,Genotype,File,Signal1,Signal2,Signal3,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
84,85,2942,F,Control,12B1,266,2412,301,134.985,35.079,99.906,14.204,20.875,31.926,67.98,46.13,88.855
85,86,2942,F,Control,12B2,348,5138,612,105.59,16.116,89.474,3.503,12.613,12.849,76.625,16.352,89.238
86,87,2942,F,Control,12B3,74,618,563,126.072,12.702,113.37,6.845,5.857,39.503,73.867,46.348,79.724
87,88,2942,F,Control,12B4,331,2121,1184,96.984,22.584,74.4,7.079,15.505,15.29,59.11,22.369,74.615
88,89,2956,F,Control,13A1,239,3358,1020,129.708,62.215,67.493,35.007,27.208,24.817,42.676,59.824,69.884
89,90,2956,F,Control,13A2,349,5451,705,137.511,59.815,77.696,33.817,25.998,33.024,44.672,66.841,70.67
90,91,2956,F,Control,13A3,282,4765,850,169.485,79.428,90.057,41.077,38.351,37.894,52.163,78.971,90.514
91,92,2956,F,Control,13A4,144,4412,958,166.983,38.385,128.598,18.619,19.766,47.741,80.857,66.36,100.623
92,93,2956,F,Control,13B1,437,3067,766,124.831,56.095,68.736,27.402,28.693,22.221,46.515,49.623,75.208
93,94,2956,F,Control,13B2,161,665,625,125.481,38.219,87.262,16.791,21.428,30.091,57.171,46.882,78.599
94,95,2956,F,Control,13B3,319,2841,1083,62.584,13.841,48.743,7.14,6.701,14.169,34.574,21.309,41.275
95,96,2956,F,Control,13B4,402,2247,920,87.827,17.896,69.931,4.073,13.823,20.306,49.625,24.379,63.448
